13,Can I keep my number when switching to your network?,"Yes. Number porting is free and usually completes within 2 hours on working days. Start the port by calling 611 or visiting a store. Keep your old SIM active until you receive an SMS confirming the port is complete.",sim
14,How do I upgrade my plan?,"Log in to MyTelecom > My Plan > Upgrade and select a new plan. Changes take effect at the start of your next billing cycle. You can also upgrade by calling 611. Downgrading follows the same process but takes effect next cycle.",billing
15,When is my bill due?,"Your bill is generated on your monthly anniversary date and payment is due 14 days later. You can check your exact due date in the MyTelecom app under Billing > Current Bill.",billing
16,Why is my bill higher than usual?,"Common reasons for a higher bill: international roaming charges, premium SMS subscriptions, additional data packs purchased mid-cycle, or a plan change. Go to Billing > Itemised Bill in the app to see a full breakdown.",billing
17,How do I set up autopay?,"Go to MyTelecom > Billing > Payment Methods and add a credit or debit card. Then enable AutoPay. You will receive an SMS reminder 3 days before each payment is taken.",billing
18,How do I get an itemised bill?,"Log in to MyTelecom > Billing > Download Bill and select PDF. Itemised bills show every call, SMS, and data session with date, time, and cost. Bills are available for the last 12 months.",billing
19,How do I unlock my phone for use on another network?,"Phones purchased from us are unlocked after 60 days or when the device is paid off. Submit an unlock request via MyTelecom > Device > Request Unlock or call 611. Unlocking is free of charge.",device
20,My phone shows SIM not detected after a restart. What should I do?,"Power off the phone, remove and reseat the SIM card firmly, then power on again. If the error persists try the SIM in another phone to rule out SIM damage. If the SIM is fine the phone's SIM tray or slot may be faulty.",sim
21,How do I set up a personal hotspot?,"Go to Settings > Personal Hotspot and toggle it on. Set a Wi-Fi password. Note that hotspot usage counts against your monthly data allowance. Some plans restrict hotspot use - check your plan details in the app.",data
22,What is VoLTE and how do I enable it?,"VoLTE (Voice over LTE) provides HD voice calls over the 4G network. Enable it via Settings > Mobile Network > VoLTE. Your device and SIM must support VoLTE. If the option is greyed out call 611 to check compatibility.",voice
23,How do I block unwanted calls and texts?,"You can block a number directly in your phone's call log or contacts app. For persistent spam report the number by texting STOP to 7726. We also offer a free Call Shield service - enable it in MyTelecom > Security.",voice
24,How do I check if there is a network outage in my area?,"Open the MyTelecom app > Help > Network Status and enter your postcode. Alternatively check our live status page at telecom.example.com/status. Planned maintenance windows are listed 48 hours in advance.",connectivity
25,How do I contact customer support?,"Call 611 (free from your mobile), use live chat in the MyTelecom app available 8am-10pm, email support@telecom.example.com, or visit any of our retail stores. Average call wait time is under 3 minutes.",account
